106,WeMade,https://www.freetogame.com/open/riders-of-icarus,MMORPG,PC (Windows),VALOFE,2016-07-06 02:00:00,"A free-to-play action MMORPG featuring mounted, in-air combat. ",https://www.freetogame.com/g/106/thumbnail.jpg,Riders of Icarus
516,"KRAFTON, Inc.",https://www.freetogame.com/open/pubg,Shooter,PC (Windows),"KRAFTON, Inc.",2022-01-12 01:00:00,Get into the action in one of the longest running battle royale games PUBG Battlegrounds.,https://www.freetogame.com/g/516/thumbnail.jpg,PUBG: BATTLEGROUNDS
11,Cryptic Studios,https://www.freetogame.com/open/neverwinter,MMORPG,PC (Windows),Perfect World Entertainment,2013-12-06 01:00:00,A free-to-play 3D action MMORPG based on the acclaimed Dungeons & Dragons fantasy roleplaying game. ,https://www.freetogame.com/g/11/thumbnail.jpg,Neverwinter
523,Mediatonic,https://www.freetogame.com/open/fall-guys,Battle Royale,PC (Windows),Mediatonic,2020-08-04 02:00:00,Play the most competitive massively multiplayer party royale game featuring beans ever for free on a variety of platforms. ,https://www.freetogame.com/g/523/thumbnail.jpg,Fall Guys
5,Gaijin,https://www.freetogame.com/open/crossout,Shooter,PC (Windows),Targem,2017-05-30 02:00:00,A post-apocalyptic MMO vehicle combat game! ,https://www.freetogame.com/g/5/thumbnail.jpg,Crossout
529,Hotta Studio,https://www.freetogame.com/open/tower-of-fantasy,MMORPG,PC (Windows),Level Infinite,2022-08-10 02:00:00,"Tower of Fantasy is a 3D open-world RPG, anime-style sci-fi MMO RPG game with unique characters and beautiful open vistas!",https://www.freetogame.com/g/529/thumbnail.jpg,Tower of Fantasy
1,"Phoenix Labs, Iron Galaxy",https://www.freetogame.com/open/dauntless,MMORPG,PC (Windows),Phoenix Labs,2019-05-21 02:00:00,"A free-to-play, co-op action RPG with gameplay similar to Monster Hunter.",https://www.freetogame.com/g/1/thumbnail.jpg,Dauntless
212,Blue Mammoth Games,https://www.freetogame.com/open/brawlhalla,Fighting,PC (Windows),Blue Mammoth Games,2015-11-03 01:00:00,A free-to-play 2D platform fighter inspired by the Smash Bros.,https://www.freetogame.com/g/212/thumbnail.jpg,Brawlhalla
449,Sandbox Interactive GmbH,https://www.freetogame.com/open/albion-online,MMORPG,PC (Windows),Sandbox Interactive GmbH,2017-07-17 02:00:00,A free-to-play cross-platform sandbox MMO developed and published by Sandbox Interactive GmbH. ,https://www.freetogame.com/g/449/thumbnail.jpg,Albion Online
8,Trion Worlds,https://www.freetogame.com/open/trove,MMORPG,PC (Windows),Trion Worlds,2015-07-09 02:00:00,A free to play Sandbox massively multiplayer online role-playing game! ,https://www.freetogame.com/g/8/thumbnail.jpg,Trove
112,Gamemag,https://www.freetogame.com/open/weapons-of-mythology,MMORPG,PC (Windows),IDC/Games,2016-06-07 02:00:00,A 3D free-to-play fantasy MMORPG published by IDC/Games. ,https://www.freetogame.com/g/112/thumbnail.jpg,Weapons Of Mythology
370,101XP,https://www.freetogame.com/open/dragon-blood,MMORPG,Web Browser,101XP,2016-04-16 02:00:00,"A free-to-play browser MMORPG from 101XP, you''ll harness your unique power and the blood of dragons that flows through your veins! ",https://www.freetogame.com/g/370/thumbnail.jpg,Dragon Blood
139,Tactic Studios Inc.,https://www.freetogame.com/open/immortal-empire,MMORPG,PC (Windows),Tactic Studios Inc.,2015-12-03 01:00:00,A free to play multiplayer strategy RPG developed by Tactic Studios.,https://www.freetogame.com/g/139/thumbnail.jpg,Immortal Empire
433,Jagex,https://www.freetogame.com/open/runescape,MMORPG,"PC (Windows), Web Browser",Jagex,2001-01-04 01:00:00,A popular 3D browser MMORPG boasting a huge player base and 15 years of content.,https://www.freetogame.com/g/433/thumbnail.jpg,RuneScape
121,Turn 10,https://www.freetogame.com/open/forza-motorsport-6-apex,Racing,PC (Windows),Microsoft,2015-09-15 02:00:00,A free-to-play MMO racing game that comes from makers of one of the most popular video game racing series ever. ,https://www.freetogame.com/g/121/thumbnail.jpg,Forza Motorsport 6: Apex
384,37Games Entertainment,https://www.freetogame.com/open/felspire,MMORPG,Web Browser,37Games,2015-08-07 02:00:00,A free-to-play 2D browser-based fantasy MMORPG with plenty of dungeons and world bosses to slay.,https://www.freetogame.com/g/384/thumbnail.jpg,Felspire
388,AMZGame,https://www.freetogame.com/open/lords-road,MMORPG,Web Browser,AMZGame,2015-06-03 02:00:00,A free-to-play 2D browser-based fantasy MMORPG that features two playable classes.,https://www.freetogame.com/g/388/thumbnail.jpg,Lord’s Road
268,X-Legend Entertainment,https://www.freetogame.com/open/eden-eternal,MMORPG,PC (Windows),X-Legend Entertainment,2023-05-10 02:00:00,A free to play fantasy MMORPG with cute anime-inspired graphics.,https://www.freetogame.com/g/268/thumbnail.jpg,Eden Eternal
545,Hidden Leaf Games,https://www.freetogame.com/open/fangs,MOBA,PC (Windows),Hidden Leaf Games,2022-11-30 01:00:00,A 4v4 MOBA with hero-specific strategies.,https://www.freetogame.com/g/545/thumbnail.jpg,Fangs
539,"GungHo Online Entertianment, Inc.",https://www.freetogame.com/open/deathverse-let-it-die,Battle Royale,PC (Windows),"Supertrick Games, Inc.",2022-09-28 02:00:00,A game of survival where contestants are pit against each other in a life or death game show.,https://www.freetogame.com/g/539/thumbnail.jpg,Deathverse: Let It Die
524,"MoonWolf Entertainment, A2 Softworks",https://www.freetogame.com/open/temperia,Card Game,PC (Windows),Leonardo Interactive,2022-07-26 02:00:00,"Fans of collectible card games, are you looking for something a bit different from the normal fare? Then a peek at Moonwolf Entertainment and A2 Softworks’ Temperia: Soul of Majestic might be in order.",https://www.freetogame.com/g/524/thumbnail.jpg,Temperia: Soul of Majestic
357,Plarium,https://www.freetogame.com/open/vikings-war-of-clans,Strategy,Web Browser,Plarium,2015-04-15 02:00:00,A free-to-play MMO strategy game developed and published by Plarium.,https://www.freetogame.com/g/357/thumbnail.jpg,Vikings: War Of Clans
173,"Jagex, Artplant",https://www.freetogame.com/open/block-n-load,Shooter,PC (Windows),Jagex,2015-04-30 02:00:00,A free-to-play multiplayer online shooter game that looks like a mix of Minecraft and Team Fortress 2.,https://www.freetogame.com/g/173/thumbnail.jpg,Block N Load
513,Bad Fox Studios,https://www.freetogame.com/open/super-squad,MOBA,PC (Windows),Bad Fox Studios,2021-06-25 02:00:00,Prepare yourself. It’s time for Mayhem. Super Squad is a multi-player online shoot-’em-up (or MOSH)!,https://www.freetogame.com/g/513/thumbnail.jpg,Super Squad
517,Smilegate RPG,https://www.freetogame.com/open/lost-ark,ARPG,PC (Windows),Amazon Games,2022-02-11 01:00:00,"Smilegate’s free-to-play multiplayer ARPG is a massive adventure filled with lands waiting to be explored, people waiting to be met, and an ancient evil waiting to be destroyed.",https://www.freetogame.com/g/517/thumbnail.jpg,Lost Ark
345,InnoGames,https://www.freetogame.com/open/forge-of-empires,Strategy,Web Browser,InnoGames,2012-04-17 02:00:00,"A free to play 2D browser-based online strategy game, become the leader and raise your city.",https://www.freetogame.com/g/345/thumbnail.jpg,Forge of Empires
95,Hi-Rez Studios,https://www.freetogame.com/open/paladins,Shooter,PC (Windows),Hi-Rez Studios,2016-09-16 02:00:00,"A free-to-play team-based shooter developed and published by Hi-Rez Games, the creators of SMITE. ",https://www.freetogame.com/g/95/thumbnail.jpg,Paladins
102,Bethesda Softworks,https://www.freetogame.com/open/elder-scrolls-legends,Card Game,PC (Windows),Bethesda Softworks,2016-08-04 02:00:00,A free-to-play CCG based on The Elder Scrolls franchise. ,https://www.freetogame.com/g/102/thumbnail.jpg,The Elder Scrolls: Legends
427,Bigpoint,https://www.freetogame.com/open/drakensang-online,MMORPG,Web Browser,Bigpoint,2011-08-08 02:00:00,A free to play browser-based top-down hack-and-slash 3D MMORPG similar to games in the Diablo series.,https://www.freetogame.com/g/427/thumbnail.jpg,Drakensang Online
340,YOOZOO Games ,https://www.freetogame.com/open/game-of-thrones-winter-is-coming,Strategy,Web Browser,GTArcade,2019-11-14 01:00:00,A free-to-play browser-based RTS based on the George R.R. Martin novels and popular HBO series.,https://www.freetogame.com/g/340/thumbnail.jpg,Game Of Thrones Winter Is Coming
380,Bigpoint,https://www.freetogame.com/open/darkorbit,Shooter,Web Browser,Bigpoint,2006-12-11 01:00:00,A browser-based 3D space-combat MMO with a massive playerbase!,https://www.freetogame.com/g/380/thumbnail.jpg,Dark Orbit Reloaded
511,Sega,https://www.freetogame.com/open/pso2-new-genesis,MMORPG,PC (Windows),Sega,2021-06-09 02:00:00,The legacy of Phantasy Star Online 2 continues a thousand years later!,https://www.freetogame.com/g/511/thumbnail.jpg,Phantasy Star Online 2 New Genesis
9,Wargaming,https://www.freetogame.com/open/world-of-warships,Shooter,PC (Windows),Wargaming,2015-07-02 02:00:00,A 3D free to play naval action-themed MMO from the creators of World of Tanks! ,https://www.freetogame.com/g/9/thumbnail.jpg,World of Warships
466,Riot Games,https://www.freetogame.com/open/valorant,Shooter,PC (Windows),Riot Games,2020-06-02 02:00:00,Test your mettle in Riot Games’ character-based FPS shooter Valorant.,https://www.freetogame.com/g/466/thumbnail.jpg,Valorant
21,Bungie,https://www.freetogame.com/open/destiny-2,Shooter,PC (Windows),Bungie,2019-10-01 02:00:00,A free-to-play multiplayer Sci-Fi MMOFPS from Bungie.,https://www.freetogame.com/g/21/thumbnail.jpg,Destiny 2
57,Epic Games,https://www.freetogame.com/open/fortnite-battle-royale,Shooter,PC (Windows),Epic Games,2017-09-26 02:00:00,"A free-to-play, standalone mode of Epic Game''s Fortnite. ",https://www.freetogame.com/g/57/thumbnail.jpg,Fortnite
62,ALLM Co.,https://www.freetogame.com/open/kritika,MMORPG,PC (Windows),ALLM Co.,2016-06-08 02:00:00,A free-to-play hack-and-slash MMORPG with both a single-player adventure combat from En Masse Entertainment and ALL-M Co. ,https://www.freetogame.com/g/62/thumbnail.jpg,Kritika: REBOOT
110,Bad Pixel,https://www.freetogame.com/open/ufo-online-invasion,MMORPG,PC (Windows),Bad Pixel,2016-06-08 02:00:00,"A free-to-play post-apocalyptic, turn-based tactical combat 
MMO developed by Bad Pixel. ",https://www.freetogame.com/g/110/thumbnail.jpg,UFO Online: Invasion
207,Crytek,https://www.freetogame.com/open/warface,Shooter,PC (Windows),Crytek,2014-07-01 02:00:00,"A free-to-play multiplayer online FPS from Crytek, makers of the Far Cry and Crysis series of games.",https://www.freetogame.com/g/207/thumbnail.jpg,Warface
119,Cold Tea Studio ,https://www.freetogame.com/open/fantasy-tales-online,MMORPG,PC (Windows),Cold Tea Studio ,2016-05-06 02:00:00,"A free-to-play, retro MMO featuring puzzles, a rich crafting system and Randomly generated dungeons! ",https://www.freetogame.com/g/119/thumbnail.jpg,Fantasy Tales Online
124,BitCake Studio,https://www.freetogame.com/open/holodrive,Shooter,PC (Windows),Versus Evil,2016-03-24 01:00:00,"A free-to-play 2D multiplayer shooter developed by BitCake Studio and published by Versus Evil in which players play as customizable robots or '"Dummys'". ",https://www.freetogame.com/g/124/thumbnail.jpg,Holodrive
350,Goodgame Studios,https://www.freetogame.com/open/goodgame-empire,Strategy,Web Browser,Goodgame Studios,2011-08-14 02:00:00,A free to play medieval strategy browser game. Build you own castle and create a powerful army! ,https://www.freetogame.com/g/350/thumbnail.jpg,Goodgame Empire
14, Cryptic Studios,https://www.freetogame.com/open/star-trek-online,MMORPG,PC (Windows),Perfect World Entertainment,2010-02-02 01:00:00,"A free-to-play, 3D, Sci-Fi MMORPG based on the popular Star Trek series.",https://www.freetogame.com/g/14/thumbnail.jpg,Star Trek Online
149,U.S. Army,https://www.freetogame.com/open/americas-army,Shooter,PC (Windows),U.S. Army,2015-10-01 02:00:00,"Take a first person shooter, have the game developed by the U.S. Army and you’ve got America’s Army.",https://www.freetogame.com/g/149/thumbnail.jpg,America’s Army: Proving Grounds
383,Goodgame Studios,https://www.freetogame.com/open/legends-of-honor,Strategy,Web Browser,Goodgame Empire,2015-08-20 02:00:00,A free to play browser based medieval fantasy 2D MMORTS.,https://www.freetogame.com/g/383/thumbnail.jpg,Legends of Honor
161,Allods Team & Obsidian Entertainment Collaboration,https://www.freetogame.com/open/skyforge,MMORPG,PC (Windows),My.com,2015-07-16 02:00:00,A impressive Free to play MMORPG where you can become a god! ,https://www.freetogame.com/g/161/thumbnail.jpg,Skyforge
